"EventId","ObjectId","TransactionStart","TransactionEnd","ResourceId","JourneyOutcome","PolicyId","UserJourneyId","ApplicationId"
"8d6f8660-d4d3-4a39-96b4-618b3e5cd667","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T12:13:09Z","2017-03-07T12:13:54Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"ade53f67-5c38-41eb-9451-116bae62fb01","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T12:10:16Z","2017-03-07T12:11:08Z","OAUTH2/AUTHORIZE","Failed","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"6d3e4403-0ed1-4632-882b-6925c333ad78","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T12:08:44Z","2017-03-07T12:10:03Z","OAUTH2/AUTHORIZE","Failed","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"54334f3f-92ae-466f-9e1f-8df80af561d4","00000000-0000-0000-0000-000000000000","2017-03-07T12:08:38Z","2017-03-07T12:08:38Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"a7289200-12e6-45a3-b40c-e3a6363637ae","00000000-0000-0000-0000-000000000000","2017-03-07T12:08:35Z","2017-03-07T12:08:35Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"4e6c4ec5-48a3-4d5f-9707-f7c36bcc2255","ded73100-6c33-46d4-bb7b-3700ba918e0b","2017-03-07T12:03:44Z","2017-03-07T12:04:32Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"cbfc721d-9baa-4244-8e39-96b144e4c035","00000000-0000-0000-0000-000000000000","2017-03-07T12:03:41Z","2017-03-07T12:03:41Z","OAUTH2/LOGOUT","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"445b1b1d-8372-4cde-aaf4-fef6fe596f8b","00000000-0000-0000-0000-000000000000","2017-03-07T12:00:11Z","2017-03-07T12:00:11Z","DISCOVERY/KEYS","Success","b2c_1a_profile_update","ProfileUpdate","00000000-0000-0000-0000-000000000000"
"8069551a-bebd-434e-9cda-b543d748bfc3","00000000-0000-0000-0000-000000000000","2017-03-07T12:00:09Z","2017-03-07T12:00:09Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_profile_update","ProfileUpdate","00000000-0000-0000-0000-000000000000"
"4e754acd-e244-45af-8048-c91d2e30d761","3b13da14-c3dc-4ee1-bfa4-a532a12fbc05","2017-03-07T11:59:00Z","2017-03-07T12:00:01Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"2500b73c-923d-423e-b4b9-93405bf68196","00000000-0000-0000-0000-000000000000","2017-03-07T11:58:55Z","2017-03-07T11:58:55Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"596cc998-8fda-484f-8b35-a7d820a0a218","00000000-0000-0000-0000-000000000000","2017-03-07T11:58:54Z","2017-03-07T11:58:54Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"e79d675b-74ef-40c9-81b6-19d07ca5ee84","00000000-0000-0000-0000-000000000000","2017-03-07T11:23:49Z","2017-03-07T11:23:49Z","DISCOVERY/KEYS","Success","b2c_1a_profile_update","ProfileUpdate","00000000-0000-0000-0000-000000000000"
"6fa80b96-4458-425e-a2f1-a34dcba09c5b","00000000-0000-0000-0000-000000000000","2017-03-07T11:23:49Z","2017-03-07T11:23:49Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_profile_update","ProfileUpdate","00000000-0000-0000-0000-000000000000"
"bb44db51-ea97-4cf1-949e-1bf36817af7e","d4ebf36b-9176-4042-8d86-fa9e949f29f1","2017-03-07T11:23:36Z","2017-03-07T11:23:42Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"c17a1172-b879-4ef0-a82f-ec4cca7ffdc9","00000000-0000-0000-0000-000000000000","2017-03-07T11:22:57Z","2017-03-07T11:22:57Z","OAUTH2/LOGOUT","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"d6adc3f4-c429-4170-ac74-19bb751e6a47","d4ebf36b-9176-4042-8d86-fa9e949f29f1","2017-03-07T11:16:45Z","2017-03-07T11:17:29Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"f14b1267-59db-4676-8aa9-dc72c3a2f04a","00000000-0000-0000-0000-000000000000","2017-03-07T11:16:41Z","2017-03-07T11:16:41Z","OAUTH2/LOGOUT","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"2b092242-99ee-429a-974c-f5ddf2f9c17b","3a1b1302-8e31-4a94-a09a-e409ea337de9","2017-03-07T11:15:37Z","2017-03-07T11:16:36Z","OAUTH2/AUTHORIZE","Success","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"77a7fc2a-eedf-49a1-b3f1-3eadbd2014c0","00000000-0000-0000-0000-000000000000","2017-03-07T11:12:55Z","2017-03-07T11:13:17Z","OAUTH2/AUTHORIZE","CallerError","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"c8ef72d7-0043-460b-86d0-c4752bc0f76c","00000000-0000-0000-0000-000000000000","2017-03-07T11:10:07Z","2017-03-07T11:12:08Z","OAUTH2/AUTHORIZE","CallerError","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"31c507bb-72b0-481d-9d5e-b94310bd06d1","00000000-0000-0000-0000-000000000000","2017-03-07T11:10:04Z","2017-03-07T11:10:04Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"63633d1c-95b5-4462-9c01-defcaa6061ed","00000000-0000-0000-0000-000000000000","2017-03-07T11:10:02Z","2017-03-07T11:10:02Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"c13e4da4-a1be-4c42-959b-8f503e86ab0a","00000000-0000-0000-0000-000000000000","2017-03-06T19:26:31Z","2017-03-06T19:26:31Z","DISCOVERY/KEYS","Success","b2c_1_loc","B2CSignUpOrSignInWithPassword","00000000-0000-0000-0000-000000000000"
"963e0440-ee54-4749-96c0-d2643d0abbe2","00000000-0000-0000-0000-000000000000","2017-03-06T19:26:19Z","2017-03-06T19:26:19Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","B2C_1_LOC","B2CSignUpOrSignInWithPassword","00000000-0000-0000-0000-000000000000"
